pair_name,accuracy,f1_score,precision,recall,balance_ratio,n_trials_total,n_trials_class0,n_trials_class1,time_seconds,error
Pron-Down_vs_Vis-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Pron-Left_vs_Pron-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Pron-Left_vs_Vis-Up,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Pron-Left_vs_Vis-Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Pron-Left_vs_Vis-Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Pron-Left_vs_Vis-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Pron-Right_vs_Vis-Up,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Pron-Right_vs_Vis-Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Pron-Right_vs_Vis-Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Pron-Right_vs_Vis-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Vis-Up_vs_Vis-Down,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Vis-Up_vs_Vis-Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Vis-Up_vs_Vis-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Vis-Down_vs_Vis-Left,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Vis-Down_vs_Vis-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
Vis-Left_vs_Vis-Right,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.00,No data or error in analysis
